Departamento,Estado_Físico_de_Producción,Año,Área_cosechada_(ha),Producción_(t)
Casanare,paddy verde,2018.0,8097.6875,41845.0625
Casanare,panela,2018.0,26.444444444444443,128.77777777777777
Casanare,semilla oleaginosa,2018.0,2.0,3.0
Casanare,tuberculo fresco,2018.0,66.09375,877.25
Cauca,aceite crudo,2018.0,624.0,1310.0
Cauca,cafe verde equivalente,2018.0,2565.15625,3192.03125
Cauca,caña para molienda,2018.0,3663.222222222222,505087.44444444444
Cauca,fibra seca,2018.0,668.5,942.75
Cauca,fruto fresco,2018.0,172.1076923076923,1358.2615384615385
Cauca,grano seco,2018.0,112.46031746031746,146.76190476190476
Cauca,hoja fresca,2018.0,8.125,42.75
Cauca,hoja seca,2018.0,3.0,2.0
Cauca,hortaliza fresca,2018.0,10.130952380952381,354.10714285714283
Cauca,leguminosa fresca,2018.0,50.8235294117647,147.41176470588235
Cauca,paddy verde,2018.0,150.23076923076923,887.5384615384615
Cauca,panela,2018.0,493.1034482758621,2919.9310344827586
Cauca,semilla oleaginosa,2018.0,11.0,17.333333333333332
Cauca,tuberculo fresco,2018.0,184.36,2630.88
Cesar,aceite crudo,2018.0,3893.3809523809523,11879.714285714286
Cesar,cafe verde equivalente,2018.0,1258.6842105263158,786.5263157894736
Cesar,follaje fresco,2018.0,53.0,371.0
Cesar,forraje fresco,2018.0,128.66666666666666,459.3333333333333
Cesar,fruto fresco,2018.0,107.45045045045045,914.6486486486486
Cesar,grano seco,2018.0,356.2987012987013,465.7142857142857
Cesar,hortaliza fresca,2018.0,60.833333333333336,1041.5714285714287
Cesar,leguminosa fresca,2018.0,31.0,31.0
Cesar,paddy verde,2018.0,351.0,2102.1363636363635
Cesar,panela,2018.0,460.625,2676.375
Cesar,tuberculo fresco,2018.0,220.02777777777777,1944.75
Choco,aceite crudo,2018.0,400.0,800.0
Choco,cafe verde equivalente,2018.0,140.0,181.0
Choco,fruto fresco,2018.0,224.98648648648648,2277.527027027027
Choco,grano seco,2018.0,254.85714285714286,218.08928571428572
Choco,hoja fresca,2018.0,28.5,142.5
Choco,hortaliza fresca,2018.0,13.4,147.0
Choco,leguminosa fresca,2018.0,1.0,5.0
Choco,melaza,2018.0,77.66666666666667,390.6666666666667
